policy_id	source_tier	source_status	evidence_class	release_action	decision_basis
coi_canonical_correctness_first_v1	priority	confirmed	confirmed_reference_sequence_contamination	quarantine	confirmed_contamination_exclusion
coi_canonical_correctness_first_v1	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	quarantine	correctness_first_conservative_conflict_exclusion
coi_canonical_correctness_first_v1	marker_scope	confirmed_non_coi	confirmed_non_coi_marker	quarantine	confirmed_non_coi_marker_exclusion
